"Lung and Bronchus Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2011-2015"

Sex,Race/Ethnicity,Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)",<1,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",1-4,0.0698,0.0175,0.0399,0.1134
"Both Sexes","All Races (includes Hispanic)",5-9,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",10-14,0.0579,0.0141,0.0337,0.0928
"Both Sexes","All Races (includes Hispanic)",15-19,0.1065,0.0188,0.0728,0.1503
"Both Sexes","All Races (includes Hispanic)",20-24,0.3276,0.0320,0.2680,0.3966
"Both Sexes","All Races (includes Hispanic)",25-29,0.5691,0.0428,0.4883,0.6594
"Both Sexes","All Races (includes Hispanic)",30-34,1.1285,0.0609,1.0122,1.2545
"Both Sexes","All Races (includes Hispanic)",35-39,2.6731,0.0969,2.4865,2.8699
"Both Sexes","All Races (includes Hispanic)",40-44,6.4558,0.1477,6.1695,6.7520
"Both Sexes","All Races (includes Hispanic)",45-49,17.8955,0.2440,17.4205,18.3802
"Both Sexes","All Races (includes Hispanic)",50-54,43.6913,0.3754,42.9587,44.4333
"Both Sexes","All Races (includes Hispanic)",55-59,81.9854,0.5349,80.9402,83.0406
"Both Sexes","All Races (includes Hispanic)",60-64,133.0053,0.7395,131.5599,134.4627
"Both Sexes","All Races (includes Hispanic)",65-69,223.0959,1.0825,220.9793,225.2277
"Both Sexes","All Races (includes Hispanic)",70-74,321.4524,1.5424,318.4364,324.4900
"Both Sexes","All Races (includes Hispanic)",75-79,392.8416,1.9981,388.9349,396.7777
"Both Sexes","All Races (includes Hispanic)",80-84,409.3512,2.3515,404.7551,413.9864
"Both Sexes","All Races (includes Hispanic)",85+,309.0531,1.9830,305.1786,312.9646
"Both Sexes","All Races (includes Hispanic)",<1,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",1-4,0.0703,0.0176,0.0402,0.1142
"Both Sexes","All Races (includes Hispanic)",5-9,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",10-14,0.0583,0.0141,0.0340,0.0933
"Both Sexes","All Races (includes Hispanic)",15-19,0.1071,0.0189,0.0732,0.1511
"Both Sexes","All Races (includes Hispanic)",20-24,0.3296,0.0322,0.2696,0.3990
"Both Sexes","All Races (includes Hispanic)",25-29,0.5728,0.0431,0.4915,0.6637
"Both Sexes","All Races (includes Hispanic)",30-34,1.1364,0.0614,1.0193,1.2632
"Both Sexes","All Races (includes Hispanic)",35-39,2.6919,0.0976,2.5041,2.8902
"Both Sexes","All Races (includes Hispanic)",40-44,6.4987,0.1487,6.2105,6.7968
"Both Sexes","All Races (includes Hispanic)",45-49,18.0127,0.2456,17.5345,18.5005
"Both Sexes","All Races (includes Hispanic)",50-54,44.0423,0.3784,43.3038,44.7902
"Both Sexes","All Races (includes Hispanic)",55-59,82.6764,0.5395,81.6225,83.7406
"Both Sexes","All Races (includes Hispanic)",60-64,134.1115,0.7456,132.6540,135.5810
